model,model_clean,single_original_asr,single_refusal_handled_asr,multi_asr
openai/gpt-4.1-nano,GPT-4.1 Nano,0.6767241379310345,0.30603448275862066,0.9776785714285714
anthropic/claude-sonnet-4,Claude Sonnet 4,0.2629310344827586,0.125,0.7456896551724138
google/gemini-2.5-flash-lite-preview-06-17,Gemini 2.5 Flash Lite,0.6982758620689655,0.3793103448275862,0.9482758620689655
anthropic/claude-3-sonnet,Claude 3 Sonnet,0.5301724137931034,0.0,0.8017241379310345
google/gemini-2.5-flash,Gemini 2.5 Flash,0.5732758620689655,0.15948275862068967,0.9439655172413793
openai/gpt-4.1-mini,GPT-4.1 Mini,0.7758620689655172,0.1896551724137931,0.9094827586206896
anthropic/claude-3.7-sonnet,Claude 3.7 Sonnet,0.49137931034482757,0.23706896551724138,0.853448275862069
openai/gpt-4.1,GPT-4.1,0.6336206896551724,0.15948275862068967,0.9741379310344828
anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,0.22844827586206898,0.021551724137931036,0.34913793103448276
google/gemini-2.5-pro,Gemini 2.5 Pro,0.7887931034482759,0.28448275862068967,0.6681034482758621
openai/gpt-4o-2024-05-13,GPT-4o (old),0.6293103448275862,0.2801724137931034,0.9137931034482759
openai/gpt-4o,GPT-4o,0.6810344827586207,0.28879310344827586,0.9310344827586207
